,Domain,percent,category
1,www.youtube.com,0.140324495,Video
2,colab.research.google.com,0.098263382,Work
3,www.dnvod.tv,0.093303559,Video
4,www.google.com,0.043764211,Search
5,yujun.us,0.042314765,Work
6,cn.dealmoon.com,0.035235127,InfoBrowsing
7,cn.nytimes.com,0.032549123,News
8,github.com,0.026769457,Work
9,mail.google.com,0.025025592,Email
10,www.linkedin.com,0.021565039,Career
11,www.netflix.com,0.020369246,Video
12,www.bilibili.com,0.016990225,Video
13,www.amazon.com,0.01534148,Shopping
14,www.evus.gov,0.011962459,Other
15,console.cloud.google.com,0.01148233,Work
16,stackoverflow.com,0.011355504,Work
17,cgifederal.secure.force.com,0.010372598,Other
18,www.baidu.com,0.008492848,Search
19,www.ihg.com,0.00799913,Shopping
20,www.nytimes.com,0.006844103,News
21,www.airbnb.com,0.006703688,Shopping
22,piazza.com,0.005489777,Work
23,deepdatalab.org,0.005190829,Work
24,medium.com,0.005036825,Reading
25,baijiahao.baidu.com,0.004692582,Reading
26,krb-sCareer.brassring.com,0.004543107,Career
27,caterpillar.taleo.net,0.004126392,Career
28,ssh.cloud.google.com,0.004081097,Work
29,app.netlify.com,0.004040331,Work
30,bbs.qyer.com,0.003999565,InfoBrowsing
31,diginomica.com,0.003940681,Reading
32,discuss.redash.io,0.003872739,Work
33,us.letgo.com,0.003786678,Shopping
34,illinois.joinhandshake.com,0.003714205,Career
35,www.ebay.com,0.003555672,Shopping
36,app.grammarly.com,0.003338255,Work
37,express.google.com,0.003324667,Shopping
38,pulse.target.com,0.003324667,Career
39,www.dropbox.com,0.003279372,Work
40,spark.apache.org,0.003179722,Work
41,www.sohu.com,0.003066484,Search
42,docs.google.com,0.003048366,Work
43,www.getipass.com,0.00301666,Other
44,tieba.baidu.com,0.002971364,InfoBrowsing
45,monsanto.taleo.net,0.002966835,Career
46,blog.csdn.net,0.002903422,Work
47,en.wikipedia.org,0.002894363,InfoBrowsing
48,www.vox.com,0.002880774,News
49,www.bloomberg.com,0.002871715,News
50,www.zhihu.com,0.002772066,Reading
51,lmig.taleo.net,0.002663357,Career
52,www.glassdoor.com,0.002599944,Career
53,dcc.godaddy.com,0.00254106,Work
54,pandas.pydata.org,0.002500294,Work
55,search.grainger.illinois.edu,0.002482176,Work
56,career4.successfactors.com,0.002427822,Career
57,www.dnwyb.tv,0.002405175,Video
58,www.mafengwo.cn,0.002364409,Other
59,www.paypal.com,0.002346291,Shopping
60,www.washingtonpost.com,0.002278348,Reading
61,smallpdf.com,0.002233053,Work
62,careers-grubhub.icims.com,0.002196817,Career
63,www.bittiger.io,0.002192287,Work
64,baike.baidu.com,0.002110756,Reading
65,Career.americanexpress.com,0.002065461,Career
66,events.idtg.illinois.edu,0.002015636,Career
67,www.amazon.Career,0.001988459,Career
68,www.overstock.com,0.001956752,Shopping
69,careers.microsoft.com,0.001934105,Career
70,web.illinois.edu,0.001911457,Work
71,austindatascience.wordpress.com,0.00187975,Career
72,aqicn.org,0.001875221,Work
73,superset.incubator.apache.org,0.001875221,Work
74,www.dnlive.tv,0.001875221,Video
75,t.bilibili.com,0.001838985,Video
76,drive.google.com,0.001829926,Work
77,www.surveymonkey.com,0.001811808,Work
78,yujun-zhou.org,0.001771042,Work
79,uofi.app.box.com,0.001662333,Work
80,us-amazon.icims.com,0.001585332,Work
81,zetcode.com,0.001567214,Work
82,www.cascademountain.com,0.001549095,Shopping
83,groupon.wd5.myworkdayCareer.com,0.001521918,Shopping
84,www.codementor.io,0.001521918,Work
85,cloud.google.com,0.001517389,Work
86,www.audible.com,0.001485682,Shopping
87,yujun.org,0.001476623,Work
88,www.gamersky.com,0.001444917,Video
89,content.ebscohost.com,0.001431328,Work
90,scholar.google.com,0.001404151,Work
91,www.citypass.com,0.001399621,Shopping
92,nursing.jhu.edu,0.00131809,Shopping
93,www.ameren.com,0.001268265,Shopping
94,brookfieldam.applytojob.com,0.001259206,Career
95,bbs.3dmgame.com,0.001245618,Video
96,www.nyudri.org,0.001241088,Shopping
97,corporate.target.com,0.0012275,Career
98,Career.target.com,0.001204852,Career
99,towardsdatascience.com,0.001200323,Reading
100,portal.aws.amazon.com,0.001159557,Work
101,www.nike.com,0.001155027,Shopping
102,www.aa.com,0.00112785,Shopping
103,gist.github.com,0.001118791,Work
104,us-east-2.console.aws.amazon.com,0.001118791,Work
105,www.digitalstorm.com,0.001114262,Work
106,spot.colorado.edu,0.001100673,Shopping
107,us-west-1.console.aws.amazon.com,0.001087085,Work
108,www.ncbi.nlm.nih.gov,0.001073496,Other
109,verify.uillinois.edu,0.001046319,Other
110,www.godaddy.com,0.001014612,Work
111,www.meiguo-qianzheng.com,0.001010083,Other