Activity type,Duration,From,To,Comment
Internet,1.8,8/27/18 9:51,8/27/18 11:38,
Sleep,9,8/27/18 0:50,8/27/18 9:51,
Games,0,8/27/18 0:50,8/27/18 0:50,
Games,1.1,8/26/18 23:43,8/27/18 0:50,
Chat,0.9,8/26/18 22:46,8/26/18 23:43,
Shower,1.6,8/26/18 21:08,8/26/18 22:46,
Internet,1,8/26/18 20:07,8/26/18 21:08,
Games,4.5,8/26/18 15:34,8/26/18 20:06,
Games,3.6,8/26/18 11:57,8/26/18 15:34,
Games,2.1,8/26/18 9:42,8/26/18 11:51,
Sleep,6.2,8/26/18 3:30,8/26/18 9:42,
Internet,1.5,8/26/18 2:02,8/26/18 3:29,
Games,3.2,8/25/18 22:47,8/26/18 2:01,
Study,6.7,8/25/18 16:05,8/25/18 22:47,
Games,3.4,8/25/18 12:40,8/25/18 16:05,
Eat,1,8/25/18 11:39,8/25/18 12:40,
Games,1.2,8/25/18 10:25,8/25/18 11:39,
Sleep,8.7,8/25/18 1:42,8/25/18 10:25,
Work,2,8/24/18 23:18,8/25/18 1:21,
Study,2.3,8/24/18 21:02,8/24/18 23:18,
Internet,3.8,8/24/18 17:15,8/24/18 21:02,
Internet,0.4,8/24/18 16:49,8/24/18 17:15,
Work,1.2,8/24/18 15:35,8/24/18 16:49,
Internet,1.4,8/24/18 14:08,8/24/18 15:35,
Eat,0.5,8/24/18 13:40,8/24/18 14:08,
Scheduling,0.7,8/24/18 12:57,8/24/18 13:40,
Games,2.1,8/24/18 10:53,8/24/18 12:57,
Work,0.5,8/24/18 10:24,8/24/18 10:53,
Eat,0.5,8/24/18 9:51,8/24/18 10:24,
Sleep,8,8/24/18 1:54,8/24/18 9:51,
Games,2,8/23/18 23:18,8/24/18 1:20,
Study,2.5,8/23/18 20:48,8/23/18 23:18,
Chat,0.8,8/23/18 19:48,8/23/18 20:35,
Sleep,3,8/23/18 16:45,8/23/18 19:48,
Internet,2,8/23/18 14:48,8/23/18 16:45,
Internet,0,8/23/18 14:48,8/23/18 14:48,
Meetings ,2,8/23/18 12:48,8/23/18 14:48,
Games,1.8,8/23/18 11:02,8/23/18 12:48,
Internet,0.4,8/23/18 10:36,8/23/18 11:02,
Shower,0.6,8/23/18 9:59,8/23/18 10:36,
Sleep,7.9,8/23/18 2:07,8/23/18 9:58,
Games,0.8,8/23/18 1:17,8/23/18 2:07,
Internet,8.5,8/22/18 16:48,8/23/18 1:17,
Study,1.9,8/22/18 14:55,8/22/18 16:48,
Eat,0.5,8/22/18 14:22,8/22/18 14:55,
Study,3.9,8/22/18 10:31,8/22/18 14:22,
Eat,0.3,8/22/18 10:15,8/22/18 10:30,
Sleep,10.9,8/21/18 23:21,8/22/18 10:15,
Study,1.9,8/21/18 21:29,8/21/18 23:21,
Sleep,0.4,8/21/18 21:08,8/21/18 21:29,
Study,0.4,8/21/18 20:44,8/21/18 21:08,
Study,4.9,8/21/18 15:45,8/21/18 20:38,
Study,1.3,8/21/18 14:27,8/21/18 15:44,
Study,1.9,8/21/18 12:34,8/21/18 14:27,
Internet,1.5,8/21/18 11:05,8/21/18 12:33,
Eat,0.7,8/21/18 10:23,8/21/18 11:05,
Study,0.2,8/21/18 10:12,8/21/18 10:23,
Sleep,9.4,8/21/18 0:43,8/21/18 10:08,
Internet,0,8/21/18 0:41,8/21/18 0:42,
Games,1.2,8/20/18 23:29,8/21/18 0:42,
Internet,2.8,8/20/18 20:42,8/20/18 23:29,
Chat,1,8/20/18 19:40,8/20/18 20:42,
Eat,1.4,8/20/18 18:14,8/20/18 19:40,
Internet,1.6,8/20/18 16:40,8/20/18 18:14,
Sleep,3.6,8/20/18 13:00,8/20/18 16:37,
Eat,1.1,8/20/18 12:00,8/20/18 13:08,
Meetings ,3.1,8/20/18 8:56,8/20/18 12:00,
Work,1.2,8/20/18 7:42,8/20/18 8:56,
Sleep,5.4,8/20/18 2:16,8/20/18 7:42,
Study,3.8,8/19/18 22:25,8/20/18 2:15,
Study,0.5,8/19/18 21:57,8/19/18 22:25,
Study,5.7,8/19/18 15:47,8/19/18 21:30,
Eat,1.9,8/19/18 13:55,8/19/18 15:47,
Sleep,3.8,8/19/18 10:08,8/19/18 13:55,
Sleep,7.3,8/19/18 2:51,8/19/18 10:08,
Games,0.3,8/19/18 2:33,8/19/18 2:51,
Games,3,8/18/18 23:34,8/19/18 2:33,
Study,4.4,8/18/18 18:56,8/18/18 23:22,
Chat,0.7,8/18/18 18:15,8/18/18 18:56,
Study,0.5,8/18/18 17:44,8/18/18 18:15,
Internet,0.9,8/18/18 16:48,8/18/18 17:43,
Internet,1.1,8/18/18 15:42,8/18/18 16:48,
Internet,3.5,8/18/18 12:11,8/18/18 15:42,
Games,2,8/18/18 10:11,8/18/18 12:11,
Sleep,7.7,8/18/18 2:30,8/18/18 10:11,
Games,2.1,8/18/18 0:22,8/18/18 2:29,
Study,2.7,8/17/18 21:41,8/18/18 0:22,
Study,6.8,8/17/18 14:51,8/17/18 21:40,
Internet,0.9,8/17/18 13:56,8/17/18 14:51,
Eat,1.1,8/17/18 12:49,8/17/18 13:56,
Eat,0.3,8/17/18 12:28,8/17/18 12:49,
Work,1.4,8/17/18 9:45,8/17/18 11:09,
Study,1,8/17/18 8:43,8/17/18 9:44,
Sleep,8.4,8/17/18 0:18,8/17/18 8:43,
Chat,0.9,8/16/18 23:21,8/17/18 0:16,
Study,2.5,8/16/18 20:52,8/16/18 23:21,
Eat,1.3,8/16/18 19:36,8/16/18 20:52,
Sport,1.2,8/16/18 18:27,8/16/18 19:36,
Internet,1.9,8/16/18 16:35,8/16/18 18:27,
Games,1.4,8/16/18 15:10,8/16/18 16:35,
Eat,0.4,8/16/18 14:49,8/16/18 15:10,
Work,1.9,8/16/18 12:54,8/16/18 14:49,
Eat,2,8/16/18 10:52,8/16/18 12:54,
Work,1.8,8/16/18 9:02,8/16/18 10:52,
Sleep,8.2,8/16/18 0:48,8/16/18 9:02,
Games,0.5,8/16/18 0:15,8/16/18 0:42,
Games,0.8,8/15/18 23:24,8/16/18 0:15,
Work,3.9,8/15/18 19:31,8/15/18 23:24,
Games,2.6,8/15/18 16:52,8/15/18 19:29,
Internet,1,8/15/18 15:54,8/15/18 16:51,
Study,1.5,8/15/18 14:21,8/15/18 15:54,
Eat,2.2,8/15/18 12:12,8/15/18 14:21,
Internet,1.1,8/15/18 11:08,8/15/18 12:12,
Study,1,8/15/18 10:09,8/15/18 11:08,
Eat,0.3,8/15/18 9:53,8/15/18 10:09,
Sport,0.4,8/15/18 9:27,8/15/18 9:53,
Sleep,8,8/15/18 1:26,8/15/18 9:27,
Games,0.8,8/15/18 0:37,8/15/18 1:26,
Games,2,8/14/18 22:36,8/15/18 0:37,
Work,0.9,8/14/18 21:20,8/14/18 22:15,
Internet,0.5,8/14/18 20:51,8/14/18 21:20,
Chat,0.2,8/14/18 20:39,8/14/18 20:51,
Scheduling,0.7,8/14/18 19:33,8/14/18 20:15,
Work,0,8/14/18 19:32,8/14/18 19:33,
Shower,0.9,8/14/18 18:35,8/14/18 19:32,
Eat,1,8/14/18 17:35,8/14/18 18:35,
Sport,0.4,8/14/18 17:12,8/14/18 17:35,
Study,0.5,8/14/18 16:41,8/14/18 17:11,
Study,1.7,8/14/18 14:57,8/14/18 16:41,
Study,0.8,8/14/18 14:07,8/14/18 14:57,
Study,0.1,8/14/18 13:54,8/14/18 13:59,
Eat,1.2,8/14/18 12:42,8/14/18 13:54,
Study,2.8,8/14/18 9:56,8/14/18 12:42,
Eat,0.3,8/14/18 9:41,8/14/18 9:56,
Scheduling,0.4,8/14/18 9:16,8/14/18 9:41,
Sleep,4.8,8/14/18 3:47,8/14/18 8:32,
Study,1.3,8/14/18 2:30,8/14/18 3:47,
Work,0,8/14/18 2:28,8/14/18 2:30,
Sleep,2.1,8/14/18 0:24,8/14/18 2:28,
Games,2.7,8/13/18 21:41,8/14/18 0:24,
Eat,3.4,8/13/18 17:27,8/13/18 20:50,
Work,8.1,8/13/18 9:21,8/13/18 17:27,
Sleep,5.9,8/13/18 2:24,8/13/18 8:19,
Games,4.1,8/12/18 21:35,8/13/18 1:43,
Games,1.3,8/12/18 20:19,8/12/18 21:35,
Sleep,2.8,8/12/18 17:34,8/12/18 20:19,
Games,8.9,8/12/18 8:43,8/12/18 17:34,
Study,3,8/11/18 18:34,8/11/18 21:34,
Sleep,1.4,8/11/18 17:08,8/11/18 18:34,
Games,8,8/11/18 9:34,8/11/18 17:34,
Sleep,7.2,8/11/18 1:30,8/11/18 8:40,
Study,5.4,8/10/18 17:26,8/10/18 22:50,
Housework,8,8/10/18 9:26,8/10/18 17:26,
Shower,0.5,8/10/18 8:57,8/10/18 9:26,
Sleep,8.6,8/10/18 0:11,8/10/18 8:45,
Study,0.3,8/9/18 23:33,8/9/18 23:52,
Games,0.8,8/9/18 22:47,8/9/18 23:33,
Study,4.2,8/9/18 18:36,8/9/18 22:47,
Shop,2.1,8/9/18 15:22,8/9/18 17:27,
Sleep,0.4,8/9/18 15:00,8/9/18 15:22,
Eat,2.9,8/9/18 12:08,8/9/18 14:59,
Scheduling,1.2,8/9/18 10:57,8/9/18 12:08,
Sport,0.2,8/9/18 10:44,8/9/18 10:57,
Study,0.4,8/9/18 10:19,8/9/18 10:44,
Eat,1.9,8/9/18 8:26,8/9/18 10:19,
Sleep,7,8/9/18 1:26,8/9/18 8:26,
Study,0.4,8/9/18 1:04,8/9/18 1:26,
Games,3.1,8/8/18 21:57,8/9/18 1:04,
Eat,1.5,8/8/18 20:28,8/8/18 21:57,
Chat,0.5,8/8/18 19:43,8/8/18 20:15,
Study,1.3,8/8/18 18:28,8/8/18 19:43,
Sleep,1.6,8/8/18 16:45,8/8/18 18:21,
Scheduling,0.3,8/8/18 16:26,8/8/18 16:45,
Study,4.5,8/8/18 11:53,8/8/18 16:26,
Sleep,6.4,8/8/18 2:25,8/8/18 8:46,
Games,5.9,8/7/18 19:27,8/8/18 1:21,
Scheduling,2.9,8/7/18 16:32,8/7/18 19:27,
Games,2.2,8/7/18 12:45,8/7/18 15:00,
Eat,0.5,8/7/18 12:14,8/7/18 12:45,
Games,2.1,8/7/18 10:05,8/7/18 12:09,
Study,1.9,8/7/18 8:13,8/7/18 10:05,
Sleep,6.9,8/7/18 1:18,8/7/18 8:13,
Games,1.4,8/6/18 23:56,8/7/18 1:18,
Study,1.1,8/6/18 22:50,8/6/18 23:56,
Study,2,8/6/18 20:49,8/6/18 22:50,
Sleep,0,8/6/18 20:48,8/6/18 20:49,
Study,2,8/6/18 18:47,8/6/18 20:46,
Sleep,0.6,8/6/18 17:56,8/6/18 18:30,
Games,2.8,8/6/18 15:10,8/6/18 17:56,
Meetings ,1.4,8/6/18 13:44,8/6/18 15:10,
Study,1.6,8/6/18 12:07,8/6/18 13:44,
Internet,2.4,8/6/18 9:43,8/6/18 12:06,
Sleep,7.8,8/6/18 1:56,8/6/18 9:43,
Games,4.9,8/5/18 21:00,8/6/18 1:55,
Internet,1.3,8/5/18 19:42,8/5/18 21:01,
Games,2.3,8/5/18 17:26,8/5/18 19:42,
Eat,0.2,8/5/18 17:13,8/5/18 17:26,
Housework,1.5,8/5/18 15:45,8/5/18 17:13,
Study,1.1,8/5/18 14:40,8/5/18 15:45,
Games,2.5,8/5/18 12:08,8/5/18 14:40,
Eat,0.8,8/5/18 11:18,8/5/18 12:08,
Sleep,8.7,8/5/18 2:36,8/5/18 11:18,
Internet,0.3,8/5/18 2:17,8/5/18 2:35,
Scheduling,0.3,8/5/18 1:58,8/5/18 2:17,
Scheduling,0.6,8/5/18 1:19,8/5/18 1:58,
Internet,2.5,8/4/18 22:49,8/5/18 1:17,
Chat,1.8,8/4/18 21:02,8/4/18 22:48,
Study,1.8,8/4/18 19:13,8/4/18 21:02,
Housework,0.8,8/4/18 18:13,8/4/18 18:58,
Eat,0.6,8/4/18 17:37,8/4/18 18:13,
Sport,0.5,8/4/18 16:49,8/4/18 17:19,
Study,0.8,8/4/18 16:01,8/4/18 16:49,
Games,4.5,8/4/18 11:31,8/4/18 16:01,
Study,0.2,8/4/18 11:21,8/4/18 11:31,
Sleep,10.1,8/4/18 0:47,8/4/18 10:55,
Games,2,8/3/18 22:47,8/4/18 0:47,
Study,0.5,8/3/18 22:16,8/3/18 22:47,
Games,2.2,8/3/18 19:45,8/3/18 22:00,
Sleep,0,8/3/18 19:44,8/3/18 19:45,
Chat,0.7,8/3/18 19:03,8/3/18 19:44,
Eat,1.6,8/3/18 17:25,8/3/18 19:03,
Study,0.2,8/3/18 17:15,8/3/18 17:24,
Games,5.9,8/3/18 11:20,8/3/18 17:15,
Internet,3.3,8/3/18 8:02,8/3/18 11:20,
Sleep,6.2,8/3/18 1:50,8/3/18 8:02,
Games,4.7,8/2/18 21:05,8/3/18 1:49,
Study,1.5,8/2/18 19:33,8/2/18 21:05,
Games,2.8,8/2/18 16:47,8/2/18 19:33,
Eat,0.6,8/2/18 15:31,8/2/18 16:05,
Meetings ,1.3,8/2/18 14:14,8/2/18 15:31,
Study,2.1,8/2/18 11:49,8/2/18 13:57,
Internet,2.1,8/2/18 9:43,8/2/18 11:48,
Sleep,8.9,8/2/18 0:48,8/2/18 9:43,
Study,1.4,8/1/18 23:26,8/2/18 0:48,
Study,1.2,8/1/18 21:21,8/1/18 22:30,
Work,2.6,8/1/18 18:27,8/1/18 21:01,
Work,0.5,8/1/18 17:50,8/1/18 18:20,
Sleep,1.7,8/1/18 15:56,8/1/18 17:36,
Study,1.2,8/1/18 14:45,8/1/18 15:55,
Study,1.8,8/1/18 12:57,8/1/18 14:45,
Eat,0.2,8/1/18 12:42,8/1/18 12:57,
Study,0.4,8/1/18 12:18,8/1/18 12:40,
Work,0.4,8/1/18 11:57,8/1/18 12:18,
Sleep,5.5,8/1/18 5:51,8/1/18 11:19,
Study,0.3,8/1/18 5:32,8/1/18 5:49,
Eat,0.1,8/1/18 5:24,8/1/18 5:32,
Internet,5.6,7/31/18 23:43,8/1/18 5:19,
Work,5,7/31/18 18:43,7/31/18 23:42,
Sleep,2.3,7/31/18 16:20,7/31/18 18:40,
Internet,1.5,7/31/18 14:52,7/31/18 16:20,
Eat,1.6,7/31/18 12:52,7/31/18 14:31,
Internet,4.2,7/31/18 8:38,7/31/18 12:52,
Sleep,8.9,7/30/18 23:41,7/31/18 8:37,
Work,3.7,7/30/18 18:53,7/30/18 22:35,
Sleep,2.1,7/30/18 16:46,7/30/18 18:53,
Eat,1.3,7/30/18 15:29,7/30/18 16:46,
Eat,0.4,7/30/18 15:07,7/30/18 15:28,
Sport,1.5,7/30/18 13:40,7/30/18 15:07,
Work,0.9,7/30/18 12:47,7/30/18 13:39,
Eat,0.9,7/30/18 11:55,7/30/18 12:47,
Work,2.1,7/30/18 9:46,7/30/18 11:55,
Internet,1.2,7/30/18 8:36,7/30/18 9:46,
Sleep,7.4,7/30/18 1:11,7/30/18 8:36,
Internet,1,7/29/18 23:50,7/30/18 0:50,
Chat,1.3,7/29/18 22:30,7/29/18 23:50,
Work,1.4,7/29/18 21:06,7/29/18 22:32,
Sport,0.3,7/29/18 20:49,7/29/18 21:06,
Work,2.9,7/29/18 17:38,7/29/18 20:35,
Eat,0.7,7/29/18 16:54,7/29/18 17:38,
Work,2.4,7/29/18 14:32,7/29/18 16:54,
Internet,0.4,7/29/18 14:07,7/29/18 14:31,
Sleep,1.7,7/29/18 12:23,7/29/18 14:05,
Eat,0.6,7/29/18 11:44,7/29/18 12:23,
Work,0.9,7/29/18 10:51,7/29/18 11:44,
Sleep,8.9,7/29/18 2:00,7/29/18 10:52,
Sport,0.7,7/26/18 19:28,7/26/18 20:13,
Eat,1,7/26/18 16:41,7/26/18 17:40,
Work,1.9,7/26/18 14:45,7/26/18 16:40,
Work,10.4,7/25/18 12:12,7/25/18 22:38,
Eat,1,7/25/18 11:04,7/25/18 12:04,
Internet,2,7/25/18 9:04,7/25/18 11:04,
Sleep,9,7/25/18 0:04,7/25/18 9:04,
Internet,4.6,7/24/18 14:07,7/24/18 18:44,
Sleep,1.6,7/24/18 12:33,7/24/18 14:07,
Work,0.8,7/24/18 11:44,7/24/18 12:33,
Eat,1.2,7/24/18 10:33,7/24/18 11:44,
Work,0.7,7/24/18 9:54,7/24/18 10:33,
Games,2,7/24/18 7:54,7/24/18 9:54,
Sleep,9,7/23/18 22:55,7/24/18 7:53,
Games,1.8,7/23/18 21:05,7/23/18 22:55,
Work,2,7/23/18 19:06,7/23/18 21:05,
Eat,2.2,7/23/18 16:52,7/23/18 19:06,
Work,3.1,7/23/18 13:48,7/23/18 16:52,
Eat,1.3,7/23/18 12:19,7/23/18 13:37,
Work,1.8,7/23/18 10:18,7/23/18 12:07,
Video,10.1,7/10/18 13:21,7/10/18 23:27,
Work,1.1,7/10/18 12:13,7/10/18 13:21,
Read,1.7,7/10/18 9:39,7/10/18 11:23,
Games,0.6,7/10/18 9:01,7/10/18 9:39,
Work,0,7/10/18 8:59,7/10/18 9:01,
Blog,2.2,7/10/18 6:48,7/10/18 8:59,
Eat,0.4,7/10/18 6:23,7/10/18 6:48,
Sleep,8.7,7/9/18 0:30,7/9/18 9:12,
Games,2.7,7/8/18 14:54,7/8/18 17:34,
Eat,1.3,7/8/18 12:45,7/8/18 14:02,
Blog,2,7/8/18 10:43,7/8/18 12:45,
Blog,0.6,7/8/18 10:08,7/8/18 10:43,
Games,1.2,6/29/18 11:05,6/29/18 12:17,
Chat,0.7,6/29/18 9:20,6/29/18 10:05,
Scheduling,0.1,6/29/18 9:16,6/29/18 9:20,
Scheduling,1,6/29/18 8:20,6/29/18 9:20,
Sleep,7.8,6/29/18 0:35,6/29/18 8:20,
Games,0.9,6/28/18 23:10,6/29/18 0:02,
Games,0.7,6/28/18 22:06,6/28/18 22:48,
Read,0.5,6/28/18 21:33,6/28/18 22:04,
Chat,1.1,6/28/18 20:26,6/28/18 21:33,
Work,0.9,6/28/18 19:31,6/28/18 20:26,
Read,1.2,6/28/18 18:20,6/28/18 19:31,
Eat,0.5,6/28/18 17:32,6/28/18 18:03,
Internet,0.9,6/28/18 15:40,6/28/18 16:36,
Sleep,2.1,6/28/18 13:45,6/28/18 15:52,
Internet,1.5,6/28/18 12:13,6/28/18 13:45,
Eat,0.5,6/28/18 11:43,6/28/18 12:13,
Work,1.1,6/28/18 9:55,6/28/18 10:59,
Blog,0.7,6/28/18 9:09,6/28/18 9:49,
Internet,0.1,6/28/18 9:04,6/28/18 9:09,
Shower,0.6,6/28/18 8:29,6/28/18 9:04,
Internet,0.7,6/28/18 7:50,6/28/18 8:30,
Sleep,7.9,6/27/18 23:54,6/28/18 7:50,
Games,1.6,6/27/18 22:00,6/27/18 23:37,
Work,0.4,6/27/18 21:17,6/27/18 21:40,
Chat,1.2,6/27/18 20:02,6/27/18 21:17,
Internet,0.7,6/27/18 19:18,6/27/18 20:02,
Internet,0.1,6/27/18 19:13,6/27/18 19:18,
Internet,0.6,6/27/18 17:59,6/27/18 18:37,
Eat,1.1,6/27/18 16:52,6/27/18 17:59,
Housework,0.7,6/27/18 16:09,6/27/18 16:52,
Work,1.2,6/27/18 14:57,6/27/18 16:06,
Housework,0.1,6/27/18 14:51,6/27/18 14:56,
Work,0.6,6/27/18 14:14,6/27/18 14:51,
Housework,0.2,6/27/18 13:55,6/27/18 14:07,
Work,0.9,6/27/18 13:00,6/27/18 13:55,
Eat,1,6/27/18 11:59,6/27/18 13:00,
Blog,2.2,6/27/18 9:46,6/27/18 11:58,
Sleep,9,6/27/18 0:22,6/27/18 9:24,
Read,1.3,6/26/18 23:05,6/27/18 0:22,
Games,1.1,6/26/18 22:02,6/26/18 23:05,
Read,0.5,6/26/18 21:33,6/26/18 22:01,
Scheduling,1.9,6/26/18 19:39,6/26/18 21:32,
Chat,1,6/26/18 18:40,6/26/18 19:39,
Read,0.1,6/26/18 18:36,6/26/18 18:40,
Housework,0.5,6/26/18 18:03,6/26/18 18:32,
Eat,0.4,6/26/18 17:40,6/26/18 18:02,
Shop,1,6/26/18 16:41,6/26/18 17:40,
Blog,0.7,6/26/18 15:58,6/26/18 16:40,
Activity type,Duration,Percent,,
Sleep,586.5,6.7,,
Games,194.6,2.2,,
Study,193.1,2.2,,
Work,177.2,2,,
Eat,116.4,1.3,,
Internet,114.4,1.3,,
Meetings ,36,0.4,,
Chat,28.5,0.3,,
Housework,21.3,0.2,,
Scheduling,16.3,0.2,,
Video,14.1,0.2,,
Sport,11.1,0.1,,
Blog,8.4,0.1,,
Shower,6.9,0.1,,
Read,6,0.1,,
Shop,5.2,0.1,,
Transport,4,0,,
Job applications ,2.6,0,,
Sleep+Games,0.4,0,,
Internet+Sleep,0.2,0,,
Sport+Shower,0.2,0,,
Eat+Sleep,0.1,0,,
Read+Games,0.1,0,,
Transport+Games,0.1,0,,
Work+Chat,0,0,,
Work+Sleep,0,0,,
Other,"7,216.30",82.4,,
Total,"8,760.00",,,